000000000000	0	0	0
000000000001	0	1	0
000000000010	0	2	0
000000000011	0	3	0
000000000100	0	4	0
000000000101	0	5	0
000000000110	0	6	0
000000000111	14	7	1
000000001000	0	8	0
000000001001	0	9	0
000000001010	0	10	0
000000001011	0	11	0
000000001100	0	12	0
000000001101	0	13	0
000000001110	28	14	2
000000001111	30	15	3
000000010000	0	16	0
000000010001	0	17	0
000000010010	0	18	0
000000010011	0	19	0
000000010100	0	20	0
000000010101	74	21	4
000000010110	76	22	5
000000010111	78	23	6
000000011000	0	24	0
000000011001	0	25	0
000000011010	0	26	0
000000011011	0	27	0
000000011100	74	28	4
000000011101	90	29	7
000000011110	92	30	8
000000011111	94	31	9
000000100000	0	32	0
000000100001	0	33	0
000000100010	0	34	0
000000100011	74	35	4
000000100100	0	36	0
000000100101	0	37	0
000000100110	76	38	5
000000100111	78	39	6
000000101000	0	40	0
000000101001	0	41	0
000000101010	74	42	4
000000101011	90	43	7
000000101100	0	44	0
000000101101	0	45	0
000000101110	92	46	8
000000101111	94	47	9
000000110000	0	48	0
000000110001	28	49	2
000000110010	76	50	5
000000110011	92	51	8
000000110100	76	52	5
000000110101	92	53	8
000000110110	204	54	10
000000110111	206	55	11
000000111000	14	56	1
000000111001	30	57	3
000000111010	78	58	6
000000111011	94	59	9
000000111100	78	60	6
000000111101	94	61	9
000000111110	206	62	11
000000111111	222	63	12
000001000000	0	64	0
000001000001	0	65	0
000001000010	0	66	0
000001000011	0	67	0
000001000100	0	68	0
000001000101	28	69	2
000001000110	0	70	0
000001000111	30	71	3
000001001000	0	72	0
000001001001	0	73	0
000001001010	0	74	0
000001001011	0	75	0
000001001100	280	76	13
000001001101	282	77	14
000001001110	282	78	14
000001001111	286	79	15
000001010000	0	80	0
000001010001	0	81	0
000001010010	0	82	0
000001010011	0	83	0
000001010100	328	84	16
000001010101	330	85	17
000001010110	332	86	18
000001010111	334	87	19
000001011000	0	88	0
000001011001	0	89	0
000001011010	0	90	0
000001011011	0	91	0
000001011100	344	92	20
000001011101	346	93	21
000001011110	348	94	22
000001011111	350	95	23
000001100000	0	96	0
000001100001	328	97	16
000001100010	0	98	0
000001100011	390	99	24
000001100100	392	100	25
000001100101	394	101	26
000001100110	396	102	27
000001100111	398	103	28
000001101000	76	104	5
000001101001	332	105	18
000001101010	404	106	29
000001101011	406	107	30
000001101100	408	108	31
000001101101	410	109	32
000001101110	412	110	33
000001101111	414	111	34
000001110000	74	112	4
000001110001	330	113	17
000001110010	404	114	29
000001110011	454	115	35
000001110100	456	116	36
000001110101	458	117	37
000001110110	460	118	38
000001110111	462	119	39
000001111000	78	120	6
000001111001	334	121	19
000001111010	468	122	40
000001111011	470	123	41
000001111100	472	124	42
000001111101	474	125	43
000001111110	476	126	44
000001111111	478	127	45
000010000000	0	128	0
000010000001	0	129	0
000010000010	0	130	0
000010000011	0	131	0
000010000100	0	132	0
000010000101	76	133	5
000010000110	74	134	4
000010000111	78	135	6
000010001000	0	136	0
000010001001	0	137	0
000010001010	0	138	0
000010001011	0	139	0
000010001100	328	140	16
000010001101	332	141	18
000010001110	330	142	17
000010001111	334	143	19
000010010000	0	144	0
000010010001	0	145	0
000010010010	0	146	0
000010010011	0	147	0
000010010100	0	148	0
000010010101	404	149	29
000010010110	404	150	29
000010010111	468	151	40
000010011000	0	152	0
000010011001	0	153	0
000010011010	0	154	0
000010011011	0	155	0
000010011100	390	156	24
000010011101	406	157	30
000010011110	454	158	35
000010011111	470	159	41
000010100000	0	160	0
000010100001	280	161	13
000010100010	328	162	16
000010100011	344	163	20
000010100100	392	164	25
000010100101	408	165	31
000010100110	456	166	36
000010100111	472	167	42
000010101000	28	168	2
000010101001	282	169	14
000010101010	330	170	17
000010101011	346	171	21
000010101100	394	172	26
000010101101	410	173	32
000010101110	458	174	37
000010101111	474	175	43
000010110000	0	176	0
000010110001	282	177	14
000010110010	332	178	18
000010110011	348	179	22
000010110100	396	180	27
000010110101	412	181	33
000010110110	460	182	38
000010110111	476	183	44
000010111000	30	184	3
000010111001	286	185	15
000010111010	334	186	19
000010111011	350	187	23
000010111100	398	188	28
000010111101	414	189	34
000010111110	462	190	39
000010111111	478	191	45
000011000000	0	192	0
000011000001	0	193	0
000011000010	0	194	0
000011000011	0	195	0
000011000100	74	196	4
000011000101	92	197	8
000011000110	90	198	7
000011000111	94	199	9
000011001000	0	200	0
000011001001	0	201	0
000011001010	0	202	0
000011001011	0	203	0
000011001100	344	204	20
000011001101	348	205	22
000011001110	346	206	21
000011001111	350	207	23
000011010000	0	208	0
000011010001	0	209	0
000011010010	0	210	0
000011010011	0	211	0
000011010100	390	212	24
000011010101	454	213	35
000011010110	406	214	30
000011010111	470	215	41
000011011000	0	216	0
000011011001	0	217	0
000011011010	0	218	0
000011011011	0	219	0
000011011100	856	220	46
000011011101	858	221	47
000011011110	858	222	47
000011011111	862	223	48
000011100000	74	224	4
000011100001	344	225	20
000011100010	390	226	24
000011100011	856	227	46
000011100100	904	228	49
000011100101	906	229	50
000011100110	908	230	51
000011100111	910	231	52
000011101000	92	232	8
000011101001	348	233	22
000011101010	454	234	35
000011101011	858	235	47
000011101100	906	236	50
000011101101	922	237	53
000011101110	924	238	54
000011101111	926	239	55
000011110000	90	240	7
000011110001	346	241	21
000011110010	406	242	30
000011110011	858	243	47
000011110100	908	244	51
000011110101	924	245	54
000011110110	972	246	56
000011110111	974	247	57
000011111000	94	248	9
000011111001	350	249	23
000011111010	470	250	41
000011111011	862	251	48
000011111100	910	252	52
000011111101	926	253	55
000011111110	974	254	57
000011111111	990	255	58
000100000000	0	256	0
000100000001	0	257	0
000100000010	0	258	0
000100000011	74	259	4
000100000100	0	260	0
000100000101	76	261	5
000100000110	0	262	0
000100000111	78	263	6
000100001000	0	264	0
000100001001	0	265	0
000100001010	328	266	16
000100001011	390	267	24
000100001100	392	268	25
000100001101	396	269	27
000100001110	394	270	26
000100001111	398	271	28
000100010000	0	272	0
000100010001	328	273	16
000100010010	280	274	13
000100010011	344	275	20
000100010100	392	276	25
000100010101	456	277	36
000100010110	408	278	31
000100010111	472	279	42
000100011000	74	280	4
000100011001	390	281	24
000100011010	344	282	20
000100011011	856	283	46
000100011100	904	284	49
000100011101	908	285	51
000100011110	906	286	50
000100011111	910	287	52
000100100000	0	288	0
000100100001	392	289	25
000100100010	392	290	25
000100100011	904	291	49
000100100100	2184	292	59
000100100101	2186	293	60
000100100110	2186	294	60
000100100111	2190	295	61
000100101000	76	296	5
000100101001	396	297	27
000100101010	456	298	36
000100101011	908	299	51
000100101100	2186	300	60
000100101101	2202	301	62
000100101110	2204	302	63
000100101111	2206	303	64
000100110000	0	304	0
000100110001	394	305	26
000100110010	408	306	31
000100110011	906	307	50
000100110100	2186	308	60
000100110101	2204	309	63
000100110110	2252	310	65
000100110111	2254	311	66
000100111000	78	312	6
000100111001	398	313	28
000100111010	472	314	42
000100111011	910	315	52
000100111100	2190	316	61
000100111101	2206	317	64
000100111110	2254	318	66
000100111111	2270	319	67
000101000000	0	320	0
000101000001	74	321	4
000101000010	0	322	0
000101000011	90	323	7
000101000100	0	324	0
000101000101	92	325	8
