61518,611.666666667,734.079695946
61519,614.488888889,910.572239017
19713,617.944444444,752.032579082
61513,632.138888889,765.825208517
260892,666.555555556,721.886590816
150398,627.416666667,659.835775023
124320,685.305555556,759.654362194
22461,681.577777778,918.320703012
4448,695.611111111,999.239836075
150397,610.555555556,663.786298443
13733,597.866666667,707.713707199
111537,605.25,731.595345803
111534,853.142857143,774.740641263
111532,827.214285714,861.128116283
4029,654.777777778,800.77712255
115814,608.888888889,742.366149552
60914,548.755555556,672.039534404
60916,679.138888889,742.993102256
5980,682.555555556,854.274107064
161071,702.027777778,736.606068397
5987,732.666666667,774.283216917
161073,638.638888889,700.520342317
10894,545.4,620.707680548
110488,555.711111111,676.796721674
61179,643.138888889,889.73521342
24710,714.555555556,764.415953523
19159,643.583333333,634.140954363
19158,613.194444444,744.772616306
7510,704.361111111,893.643245373
61171,666.138888889,875.650472506
19156,615.583333333,748.804380329
19150,609.444444444,741.074388979
19152,820.055555556,713.547125283
16671,523.466666667,651.925031667
13597,641.555555556,645.300898806
65270,696.25,746.913482272
63100,692.444444444,773.245433223
65275,557.909090909,857.140478568
16679,657.444444444,648.331898028
150179,622.25,645.348936623
25069,707.638888889,936.270126619
142814,659.722222222,700.91814786
22008,673.388888889,678.273912221
6152,677.888888889,776.875955349
12702,665.388888889,971.843222953
61192,611.844444444,860.953232839
142811,739.722222222,906.018211737
142812,686.694444444,752.164376982
6158,612.0,708.654454443
30646,626.138888889,630.459356343
1650,683.222222222,738.500338524
62559,644.194444444,697.474909943
6797,682.805555556,869.346018568
1651,697.472222222,737.500847457
4737,608.083333333,724.969309695
6791,648.527777778,658.592058865
118126,548.509090909,649.497036175
118125,655.222222222,651.157814973
4739,612.277777778,735.78138737
2312,609.133333333,865.455706693
118122,571.911111111,755.694251976
118121,601.977777778,908.899959183
6799,732.027777778,758.161757147
64708,617.0,825.843153135
25665,612.805555556,622.571281059
65876,677.194444444,795.159417979
65655,767.535714286,767.81149366
155701,640.722222222,777.984254339
64879,705.555555556,697.258022543
140541,666.5,859.089634439
141097,704.694444444,755.998677248
1655,655.583333333,752.951027624
120051,707.722222222,750.077495996
60823,596.75,706.349594748
14985,641.333333333,669.967536527
63739,685.805555556,800.009062449
30843,696.711111111,770.915056729
25285,602.111111111,844.010809714
25283,707.25,815.872489037
155616,656.888888889,717.887040187
22717,615.5,751.000332889
14386,667.777777778,839.913834866
138743,673.722222222,771.183830225
25118,770.805555556,831.173417525
25119,599.955555556,876.875021009
16705,617.75,744.459871316
137252,662.416666667,709.511803989
24204,677.944444444,832.851577413
65474,705.805555556,725.702762844
25110,717.333333333,849.184608904
25111,735.071428571,820.319400214
7993,683.0,783.615658343
140897,718.111111111,990.172585967
10917,528.355555556,799.414801396
141236,665.5,718.977051094
7991,620.888888889,893.829353725
28998,687.333333333,783.173352458
63930,636.583333333,819.895725077
2269,638.861111111,695.962103853
116787,821.821428571,721.454822719
19570,616.222222222,750.231797513
7881,594.977777778,751.171841726
