תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
16/04/2017,נכסים ובנ אגח ג,6990139,צמוד מדד,0.67%,0.61,נכסים ובניו,A,124.48
16/04/2017,נכסים ובנ אגח ד,6990154,צמוד מדד,2.12%,5.43,נכסים ובניו,A,140.79
16/04/2017,נמקו אגח א,1139575,לא צמוד,4.81%,3.96,נמקו,A+,106.19
16/04/2017,נץ ארהב אגח 1,5160064,לא צמוד,4.96%,1.65,נץ ארהב,BBB+,106.4
16/04/2017,נצבא אגח ה,1120468,צמוד מדד,26.71%,0.02,נצבא,AA,112.44
16/04/2017,נצבא אגח ו,1128032,צמוד מדד,24.09%,0.02,נצבא,AA,109.78
16/04/2017,סאות'רן אגח א,1140094,לא צמוד,6.57%,3.5,סאותרן,BBB+,104.1
16/04/2017,סטרוברי אגח א,1136951,לא צמוד,4.67%,2.93,סטרוברי,A,107.09
16/04/2017,סלקום אגח ד,1107333,צמוד מדד,1.29%,0.21,סלקום,A+,121.96
16/04/2017,סלקום אגח ו,1125996,צמוד מדד,0.85%,1.67,סלקום,A+,109.97
16/04/2017,סלקום אגח ז,1126002,לא צמוד,1.06%,1.06,סלקום,A+,108.39
16/04/2017,סלקום אגח ח,1132828,צמוד מדד,1.50%,4.25,סלקום,A+,102.64
16/04/2017,סלקום אגח ט,1132836,לא צמוד,2.48%,4.54,סלקום,A+,108.95
16/04/2017,סלקום אגח י,1139245,צמוד מדד,1.99%,6.36,סלקום,A+,103.71
16/04/2017,סלקום אגח יא,1139252,לא צמוד,3.09%,6.12,סלקום,A+,103.95
16/04/2017,ספנסר אגח א,1133800,לא צמוד,3.68%,3.21,ספנסר,A,113.32
16/04/2017,ספנסר אגח ב,1139898,לא צמוד,4.52%,5.06,ספנסר,A,103.62
16/04/2017,עזריאלי אגח ב,1134436,צמוד מדד,1.18%,4.36,עזריאלי,AA+,97.75
16/04/2017,עזריאלי אגח ג,1136324,צמוד מדד,1.39%,5.41,עזריאלי,AA+,101.87
16/04/2017,פועל הנ שה נד 1,1940444,צמוד מדד,0.95%,2.94,פועלים שה,AA,129.53
16/04/2017,פועלים הנ אגח29,1940485,לא צמוד,0.76%,1.09,פועלים,AAA,107.95
16/04/2017,פועלים הנ אגח30,1940493,לא צמוד,0.55%,1.6,פועלים,AAA,102.32
16/04/2017,פועלים הנ אגח31,1940527,צמוד מדד,-0.23%,0.8,פועלים,AAA,106.94
16/04/2017,פועלים הנ אגח32,1940535,צמוד מדד,0.86%,4.77,פועלים,AAA,125.03
16/04/2017,פועלים הנ אגח33,1940568,צמוד מדד,1.02%,2.37,פועלים,AAA,102.32
16/04/2017,פועלים הנ אגח34,1940576,צמוד מדד,0.61%,3.4,פועלים,AAA,100.84
16/04/2017,פועלים הנ הת טו,1940543,צמוד מדד,0.90%,4.61,פועלים,AA+,121.17
16/04/2017,פועלים הנ הת טז,1940550,לא צמוד,1.63%,4.39,פועלים,AA+,129.4
16/04/2017,פועלים הנ הת יא,1940410,לא צמוד,1.10%,2.37,פועלים,AA+,112.3
16/04/2017,פועלים הנ הת יג,1940436,לא צמוד,0.22%,0.37,פועלים,AA+,101.14
16/04/2017,פועלים הנ הת יד,1940501,צמוד מדד,0.76%,3.84,פועלים,AA+,120.16
16/04/2017,פועלים הנפ הת ט,1940386,צמוד מדד,0.63%,0.68,פועלים,AA+,124.22
16/04/2017,פועלים הנפ הת י,1940402,צמוד מדד,0.68%,2.39,פועלים,AA+,130.18
16/04/2017,פורמולה אגח א,2560142,לא צמוד,2.29%,3.48,פורמולה,A+,102.62
16/04/2017,פז נפט אגח ג,1114073,לא צמוד,1.16%,2.06,פז נפט,AA-,102.49
16/04/2017,פז נפט אגח ד,1132505,לא צמוד,1.79%,6.7,פז נפט,AA-,100.06
16/04/2017,פז נפט אגח ה,1139534,לא צמוד,2.31%,5.18,פז נפט,AA-,104.58
16/04/2017,פז נפט אגח ו,1139542,צמוד מדד,1.42%,5.73,פז נפט,AA-,103.78
16/04/2017,פלאזה סנט אגח א,1109495,צמוד מדד,21.03%,1.97,פלאזה סנט,CCC,92.01
16/04/2017,פלאזה סנט אגח ב,1109503,צמוד מדד,19.11%,2.39,פלאזה סנט,CCC,89.87
16/04/2017,פניקס הון אגח ב,1120799,צמוד מדד,0.93%,2.37,פניקס,AA-,112.42
16/04/2017,פניקס הון אגח ג,1120807,לא צמוד,0.64%,0.45,פניקס,AA-,102.7
16/04/2017,פניקס הון התח א,1115104,צמוד מדד,0.62%,0.87,פניקס,AA,112
16/04/2017,פרטנר אגח ג,1118827,צמוד מדד,0.79%,1.18,פרטנר,A+,112.44
16/04/2017,פרטנר אגח ד,1118835,לא צמוד,1.20%,2.65,פרטנר,A+,100.44
16/04/2017,פרטנר אגח ה,1118843,לא צמוד,0.93%,0.69,פרטנר,A+,104.83
16/04/2017,צרפתי אגח ז,4250163,לא צמוד,1.98%,0.93,צרפתי,BBB+,106.66
16/04/2017,צרפתי אגח ח,4250189,לא צמוד,2.53%,2.63,צרפתי,BBB+,104.99
16/04/2017,קופרליין אגח א,1136589,לא צמוד,2.86%,2.23,קופרליין,A,107.02
16/04/2017,קופרליין אגח ב,1140177,לא צמוד,5.08%,5.31,קופרליין,A,101.1
16/04/2017,קיי.בי.אס אגח א,1137918,לא צמוד,3.68%,3.57,קיי.בי.אס,AA-,102.68
16/04/2017,קליין אגח א,1136977,לא צמוד,4.54%,2.93,קליין,A-,106.4
16/04/2017,קליין אגח ב,1140409,לא צמוד,5.90%,5.09,קליין,A-,104.37
16/04/2017,קרדן אןוי אגח א,1105535,צמוד מדד,49.73%,0.86,קרדן,B,89.9
16/04/2017,קרדן אןוי אגח ב,1113034,צמוד מדד,40.87%,1.73,קרדן,B,73.3
