שם אגח,תשואה ברוטו,תשואה נטו,מחמ,חברה,דירוג 
אפקון החז אגח ג,1.04,0.15,1.75,אפקון, 
אפריל נדלןאגח 1,2.3,1.33,1.69,אפריל, 
אפריקה אגח כו,20.43,17.2,3.12,אפריקה, 
אפריקה אגח כז,18.27,15.58,3.2,אפריקה, 
אפריקה אגח כח,22.95,19.89,3.73,אפריקה, 
אפריקה מג אגח ב,1.51,0,1.28,אפריקה, 
אפריקה מג אגח ג,2.62,1.98,3.47,אפריקה, 
אפריקה נכס אגחה,1.16,-0.42,1.13,אפריקה, 
אפריקה נכס אגחו,1.93,0.7,2.3,אפריקה, 
אפריקה נכס אגחז,3.1,2.11,4.68,אפריקה, 
אקסטל אגח א,8.29,7.46,2.18,אקסטל, 
אקסטל אגח ב,9.01,7.96,3.78,אקסטל, 
ארזים אגח 2,34.77,32.71,1.72,ארזים, 
ארזים אגח 4,19.06,16.96,1.62,ארזים, 
ארפורט אגח ג,0.71,-0.1,0.97,ארפורט,AA
ארפורט אגח ד,1.19,0.77,2.58,ארפורט,AA
ארפורט אגח ה,2.39,1.8,6.78,ארפורט,AA
ארפורט אגח ז,1.03,0.29,3.06,ארפורט,AA
ארקו אגח ג,3.8,3.05,4.31,ארקו, 
אשדר אגח א,1.47,0.13,1.67,אשדר,A-
אשדר אגח ג,2.05,0.63,2.2,אשדר,A-
אשדר אגח ד,2.68,2.04,3.53,אשדר,A-
אשטרום נכ אגח 7,1.44,0.34,2.23,אשטרום,A
אשטרום נכ אגח 8,1.59,0.41,2.81,אשטרום,A
אשטרום נכ אגח 9,4.11,3.34,6.34,אשטרום,A
אשטרום נכ אגח01,2.95,2.15,6.47,אשטרום,A
אשטרום קב אגח א,2.46,1.8,4.12,אשטרום,A
אשטרום קב אגח ב,3.16,2.49,3.77,אשטרום,A
אשטרום קב אגח ג,4.49,3.83,6.04,אשטרום,A
ב.יאיר אגח 11,1.48,-0.89,0.23,ב.יאיר, 
בוני תיכון אגחו,3.36,2.01,0.58,בוני תיכון, 
בוני תיכון אגחח,3.64,2.3,1.33,בוני תיכון, 
בוני תיכון אגחט,2.62,1.39,0.77,בוני תיכון, 
בוני תיכון אגחי,3.1,2.28,1.37,בוני תיכון, 
בוניתיכון אגחיא,3.66,2.86,1.47,בוני תיכון, 
בוניתיכון אגחיב,4.86,4.12,2.6,בוני תיכון, 
בזן אגח א,1.9,0.62,1.75,בזן,BBB+
בזן אגח ד,2.46,1.56,2.81,בזן,BBB+
בזן אגח ה,3.42,2.56,4.86,בזן,BBB+
בזן אגח ו,4.32,2.66,4.43,בזן,BBB+
בזן אגח ז,1.87,0.13,1.49,בזן,BBB+
בזק אגח 10,1.85,1.28,6.95,בזק,AA
בזק אגח 6,1.01,0.07,3.52,בזק,AA
בזק אגח 7,1.16,0.92,3.63,בזק,AA
