שם אגח,תשואה ברוטו,תשואה נטו,מחמ,חברה,דירוג 
מליסרון אגח י,2.39,1.92,7.1,מליסרון,AA-
מליסרון אגח יא,2.68,2.07,6.97,מליסרון,AA-
מליסרון אגח יב,1.19,-0.64,0.72,מליסרון,AA-
מליסרון אגח יג,1.39,-0.05,3.01,מליסרון,AA-
מליסרון אגח יד,2.4,1.83,7.51,מליסרון,AA-
מליסרון מסחרי 4,0.51,0.34,0.55,מליסרון, 
ממן אגח ב,2.01,1.55,3.82,ממן,A+
מנדלסוןתשת אגחג,2.05,-0.22,0.93,מנדלסון,A
מנורה הון אגח א,0.93,-0.24,2.68,מנורה, 
מנורה הון התח ד,3.14,2.52,6.39,מנורה, 
מנורה מב אגח א,0.7,-0.8,1.32,מנורה, 
מנורה מב אגח ג,2.84,2.37,5.96,מנורה, 
מנרב אגח א,2.09,1.51,3.26,מנרב,A
מנרב אגח ב,2.89,2.2,6.81,מנרב,A
מצלאוי אגח ב,5.19,4.22,0.96,מצלאוי, 
מצלאוי אגח ג,7.22,6.03,0.71,מצלאוי, 
מצלאוי אגח ד,6.84,5.4,1.99,מצלאוי, 
מרכנתיל הנ אגחב,1.8,1.43,4.77,מרכנתיל,AA
נאוי אגח ב,1.08,0.68,1.46,נאוי,A
נאוי אגח ג,1.22,1.22,0.56,נאוי,A
נאוסיטי אגח א,4.25,2.57,1.56,נאוסיטי, 
נורסטאר אגח ח,1.5,1.35,1.4,נורסטאר,A+
נורסטאר אגח ט,1.55,0.33,2.08,נורסטאר,A+
נורסטאר אגח י,2.32,1.14,3.73,נורסטאר,A+
נורסטאר אגח יא,3.17,2.35,5.82,נורסטאר,A+
נייר חדרה אגח 3,1.11,-0.88,0.82,נייר חדרה,A+
נייר חדרה אגח 5,0.99,-0.18,0.71,נייר חדרה,A+
נייר חדרה אגח 6,2.73,1.89,4.66,נייר חדרה,A+
נכסים ובנ אגח ג,0.18,-1.49,0.71,נכסים ובניו,A
נכסים ובנ אגח ד,2.43,1.25,5.52,נכסים ובניו,A
נכסים ובנ אגח ו,1.58,0.38,3.54,נכסים ובניו, 
נכסים ובנ אגח ז,2.82,1.84,4.22,נכסים ובניו, 
נכסים ובנ אגח ח,2.46,1.73,6.5,נכסים ובניו, 
נכסים ובנ אגח ט,3.89,3.27,6.14,נכסים ובניו, 
נמקו אגח א,4.71,3.8,4.07,נמקו,A+
נץ ארהב אגח 1,5.45,4.22,1.76,נץ ארהב,BBB+
נצבא אגח ה,0.99,0.26,3.06,נצבא,AA
נצבא אגח ו,1.56,0.8,5.48,נצבא,AA
נתנאל גרופ אגחד,2.6,1.17,1.49,נתנאל גרופ, 
נתנאל גרופ אגחה,2.18,1.08,0.56,נתנאל גרופ, 
נתנאל גרופ אגחו,3.87,3.01,3.25,נתנאל גרופ, 
נתנאל גרופ אגחח,3.91,3.18,3.06,נתנאל גרופ, 
סאות''רן אגח א,7.41,6.26,3.58,סאותרן,BBB+
סאמיט אגח ד,1.1,-0.97,1.22,סאמיט, 
סאמיט אגח ו,2.72,1.83,4.45,סאמיט, 
סאמיט אגח ז,3.39,2.65,5.78,סאמיט, 
סאמיט אגח ח,3.15,2.72,6.75,סאמיט, 
סאני תקש אגח יא,5.25,4.66,4.75,סאנפלאואר, 
סטרוברי אגח א,5.29,4.28,3.01,סטרוברי,A
סלע נדלן אגח א,1.16,0.46,3.38,סלע נדלן, 
סלע נדלן אגח ב,2.12,1.38,5.15,סלע נדלן, 
סלע נדלן אגח ג,2.3,1.76,7.06,סלע נדלן, 
סלקום אגח ד,0.77,-3.12,0.32,סלקום,A+
סלקום אגח ו,0.82,-0.37,1.77,סלקום,A+
סלקום אגח ז,0.98,-0.16,1.17,סלקום,A+
סלקום אגח ח,1.8,1.28,4.35,סלקום,A+
סלקום אגח ט,2.66,2.04,4.64,סלקום,A+
סלקום אגח י,2.1,1.47,6.46,סלקום,A+
סלקום אגח יא,3.42,2.87,6.21,סלקום,A+
ספנסר אגח א,3.62,2.58,3.32,ספנסר,A
ספנסר אגח ב,4.66,3.87,5.11,ספנסר,A
סקייליין אגח א,3.97,3.18,4.45,סקייליין, 
עזריאלי אגח ג,1.5,1.08,5.51,עזריאלי,AA+
עזריאלי אגח ד,1.9,1.55,6.84,עזריאלי, 
פולאר השק אגח ו,1000,855.51,0.06,פולאר, 
פועל הנ שה נד 1,1.01,-0.56,3.01,פועלים,AA
פועלים הנ אגח29,0.63,-0.39,1.2,פועלים,AAA 
פועלים הנ אגח30,0.69,0.39,1.7,פועלים,AAA 
פועלים הנ אגח31,0.09,-1.09,0.91,פועלים,AAA 
פועלים הנ אגח32,0.93,-0.2,4.87,פועלים,AAA 
פועלים הנ אגח33,1.12,0.64,2.47,פועלים,AAA 
פועלים הנ אגח34,0.57,0.34,3,פועלים,AAA 
פועלים הנ הת טו,0.98,-0.12,4.71,פועלים,AA+
פועלים הנ הת טז,1.64,0.66,4.5,פועלים,AA+
פועלים הנ הת יא,1.02,-0.2,1.93,פועלים,AA+
פועלים הנ הת יג,0.28,-0.11,0.48,פועלים,AA+
פועלים הנ הת יד,0.85,-0.14,3.95,פועלים,AA+
פועלים הנפ הת ט,0.47,-0.97,0.78,פועלים,AA+
פועלים הנפ הת י,0.67,-0.73,1.97,פועלים,AA+
פורמולה אגח א,2.37,1.93,3.59,פורמולה,A+
פז נפט אגח ג,0.51,0.25,2.17,פז נפט,AA-
פז נפט אגח ד,1.84,1.57,6.8,פז נפט,AA-
פז נפט אגח ה,2.56,2.09,5.28,פז נפט,AA-
פז נפט אגח ו,1.64,1.14,5.81,פז נפט,AA-
פטרוכימים אגח 1,29.75,28.07,5.6,פטרוכימים, 
פטרוכימים אגח ב,16.49,14.7,6.11,פטרוכימים, 
פטרוכימים אגח ג,17.86,16.51,5.93,פטרוכימים, 
פטרוכימים אגח ד,13.24,9.85,2.24,פטרוכימים, 
פלאזה סנט אגח א,18.47,16.56,2.09,פלאזה סנט,CCC
פלאזה סנט אגח ב,19.27,17.05,2.49,פלאזה סנט,CCC
פלסטו שק אגח ג,4.53,3,1.63,פלסטו, 
פלסטו שק אגח ד,6.1,5.12,3.84,פלסטו, 
פניקס הון אגח ב,0.89,-0.13,2.44,פניקס,AA-
פניקס הון אגח ג,0.52,-1.03,0.55,פניקס,AA-
פניקס הון אגח ד,3.07,2.5,6.13,פניקס, 
פניקס הון אגח ה,2.38,1.79,10.98,פניקס, 
פניקס הון אגח ו,2.72,2.26,5.43,פניקס, 
פניקס הון אגח ח,3.54,2.98,7.29,פניקס, 
פניקס הון התח א,0.61,-0.47,0.98,פניקס,AA
פרטנר אגח ג,0.57,-0.36,1.29,פרטנר,A+
פרטנר אגח ד,1.21,0.99,2.75,פרטנר,A+
פרטנר אגח ה,0.87,-0.11,0.8,פרטנר,A+
פרשקובסקי אגח ה,2.88,-7.02,0.07,פרשקובסקי, 
פרשקובסקי אגח ז,1.87,1.07,1.74,פרשקובסקי, 
פרשקובסקי אגח ח,1.59,1.02,1.41,פרשקובסקי, 
פרשקובסקי אגח ט,1.81,1.39,1.24,פרשקובסקי, 
פרשקובסקי אגח י,3.22,2.73,3.17,פרשקובסקי, 
פתאל אגח א,2.81,2.28,4.09,פתאל, 
צור אגח ז,0.5,-1.14,0.81,צור, 
צור אגח ח,2.31,1.48,3.14,צור, 
צור אגח ט,2.77,2.22,3.58,צור, 
צמח המרמן אגח ב,2.07,0.85,0.23,צמח המרמן, 
צמח המרמן אגח ג,2.09,0.88,1.35,צמח המרמן, 
צמח המרמן אגח ד,2.88,2.04,2.28,צמח המרמן, 
צנור המזהת אגח2,2.37,0.41,0.47,צנורות המזהת, 
צרפתי אגח ז,2.24,1.07,1.04,צרפתי,BBB+
צרפתי אגח ח,2.94,2.32,2.73,צרפתי,BBB+
קופרליין אגח א,3.07,2.04,2.07,קופרליין,A
קופרליין אגח ב,5.24,4.45,5.4,קופרליין,A
קורנרסטון אגח א,4.15,3.38,4.2,קורנרסטון, 
קיי.בי.אס אגח א,3.62,2.98,3.68,קיי.בי.אס,AA-
קליין אגח א,5.13,4.17,3.03,קליין,A-
קרדן אןוי אגח א,29.46,27.47,0.97,קרדן,B
קרדן אןוי אגח ב,33.79,31.18,1.87,קרדן,B
קרדן נדלן אגח ב,2.47,1.6,1.95,קרדן, 
קרסו אגח א,2.28,1.87,4.64,קרסו, 
קרסו אגח ב,1.92,1.56,3.56,קרסו, 
רבד אגח א,1.4,0.33,2.35,רבד, 
רבד אגח ב,3.67,2.76,3.21,רבד, 
רבד אגח ג,4.57,3.72,4.72,רבד, 
רבוע נדלן אגח ג,1.11,-0.23,1.12,רבוע נדלן,A+
רבוע נדלן אגח ד,0.88,-0.31,1.76,רבוע נדלן,A+
רבוע נדלן אגח ה,2.09,1.24,4.47,רבוע נדלן,A+
רגנסי אגח א,2.96,1.91,1.73,רגנסי,BBB+
רוטשטיין אגח ד,3.08,1.96,2.2,רוטשטיין, 
רוטשטיין אגח ה,3.47,2.86,2.24,רוטשטיין, 
ריט 1 אגח א,1.24,-0.23,0.39,רייט,AA-
ריט 1 אגח ג,0.95,0.03,2.34,רייט,AA-
ריט 1 אגח ד,1.7,0.77,5.17,רייט,AA-
ריט 1 אגח ה,2.31,1.38,7.48,רייט,AA-
ריט 1 אגח ו,2.5,1.62,8.31,רייט,AA-
רילייטד אגח א,3.28,2.42,3.03,ריילייטד,A+
רכבת ישר אגח א,0.94,0.71,1.78,רכבת ישראל,AA+
רכבת ישר אגח ב,0.55,0.37,1.8,רכבת ישראל,AA+
רפק אגח ה,3.79,2.76,2.3,רפק, 
רציו מימון אגחא,3.86,2.35,2.52,רציו מימון, 
רציו מימון אגחב,6.38,5.26,5.04,רציו מימון, 
רקח אגח ב,2.13,1.19,1.95,רקח, 
שופרסל אגח ב,0.96,-1.34,1.02,שופרסל,A+
שופרסל אגח ד,2.17,1.4,5.95,שופרסל,A+
שופרסל אגח ה,3.09,2.34,5.65,שופרסל,A+
שופרסל אגח ו,2.47,1.41,6.58,שופרסל,A+
שטראוס אגח ב,0.7,-0.41,0.89,שטראוס,AA+
שטראוס אגח ד,1.64,0.95,4.05,שטראוס,AA+
שכון ובי אגח 4,1.32,0.16,1.47,שיכון ובינוי,A
שכון ובי אגח 5,1.51,0.15,2.66,שיכון ובינוי,A
שכון ובי אגח 7,3.34,2.4,4.62,שיכון ובינוי,A
שכון ובי אגח 8,3.7,2.67,6.54,שיכון ובינוי,A
שלמה החז אגח טו,1.39,0.55,1.55,שלמה החזקות,A
שלמה החז אגח טז,1.84,1.27,2.97,שלמה החזקות,A
שלמה החז אגח יא,1.31,0.48,0.44,שלמה החזקות,A
שלמה החז אגח יב,0.88,-0.26,0.43,שלמה החזקות,A
שלמה החז אגח יד,1.42,0.48,1.57,שלמה החזקות,A
שלמה נדלן אגח ב,2.18,0.92,1.83,שלמה נדלן, 
שלמה נדלן אגח ג,3.63,2.97,3.98,שלמה נדלן, 
שניב אגח ב,1.57,0.01,0.9,שניב, 
שנפ אגח ב,2.42,2.07,4.13,שנפ, 
שפיר הנדס אגח א,2.4,1.86,4.18,שפיר,A+
תדיראן הול אגח2,2.04,1.38,2.75,תדיראן, 
תעש אוירית אגחב,0.24,-2.24,0.15,תעשיה אוירית,AA
תעש אוירית אגחג,0.98,0.35,2.23,תעשיה אוירית,AA
תעש אוירית אגחד,1.2,1.02,5.56,תעשיה אוירית,AA
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,תעשיה אוירית,
,,,,תעשיה אוירית,
