תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
12/12/2016,אאורה אגח ח,3730355,לא צמוד,2.93,1.53,אאורה ,BBB,106
12/12/2016,אאורה אגח ט,3730397,לא צמוד,4.07,2.77,אאורה ,BBB,107.28
12/12/2016,אאורה אגח י,3730413,לא צמוד,4.58,3.82,אאורה ,BBB,98.48
12/12/2016,אבגול אגח ב,1126317,לא צמוד,1.27,1.02,אבגול,A,108.04
12/12/2016,אבגול אגח ג,1133289,לא צמוד,3.28,4.86,אבגול,A,109.59
12/12/2016,אברות אגח ד,2970192,לא צמוד,5.54,3.19,אברות,BBB,103.5
12/12/2016,אדמה אגח ב,1110915,צמוד מדד,4.41,8.94,אדמה,AA-,128.2
12/12/2016,אדרי-אל אגח ב,1123371,צמוד מדד,6.25,0.56,אדרי אל,CCC,106.1
12/12/2016,אורון אגח א,1135714,לא צמוד,3.23,2.39,אורון,A-,103.44
12/12/2016,אזורים אגח 8,7150246,צמוד מדד,1.65,0.54,אזורים,A-,125.03
12/12/2016,אידיבי פת אגח ז,7980121,צמוד מדד,10.12,0.96,אדיבי פת,CCC,119.1
12/12/2016,אידיבי פת אגח ט,7980154,צמוד מדד,10.21,5.35,אדיבי פת,CCC,91.87
12/12/2016,אידיבי פת אגח י,7980162,לא צמוד,9.95,1.45,אדיבי פת,CCC,95.65
12/12/2016,איידיאו אגח ה,5050166,צמוד מדד,1.50,2.54,איידיאו,A,110.7
12/12/2016,איידיאו אגח ז,5050240,צמוד מדד,2.42,4.56,איידיאו,A,109.6
12/12/2016,אלומיי אגח א,1130947,לא צמוד,3.10,3.22,אלומיי,A-,107.03
12/12/2016,אלוני חץ אגח ו,3900206,צמוד מדד,1.12,1.21,אלוני חץ,AA-,128.62
12/12/2016,אלוני חץ אגח ח,3900271,צמוד מדד,1.25,3,אלוני חץ,AA-,116.16
12/12/2016,אלוני חץ אגח ט,3900354,לא צמוד,3.60,6.12,אלוני חץ,AA-,104.52
12/12/2016,אלוני חץ אגח י,3900362,לא צמוד,2.16,7.9,אלוני חץ,AA-,101.54
12/12/2016,אלקו אגח יא,6940167,לא צמוד,2.24,3.24,אלקו,A+,111.98
12/12/2016,אלקטרה אגח ד,7390149,לא צמוד,2.62,4.53,אלקטרה,AA-,107.03
12/12/2016,אלקטרה נדלןאגחד,1121227,צמוד מדד,1.92,2.29,אלקטרה,BBB,112.3
12/12/2016,אמות אגח א,1097385,צמוד מדד,0.94,1.52,אמות,AA-,127.83
12/12/2016,אמות אגח ב,1126630,צמוד מדד,1.29,3.99,אמות,AA-,118.17
12/12/2016,אמות אגח ג,1117357,צמוד מדד,1.13,1.94,אמות,AA-,120.64
12/12/2016,אמות אגח ד,1133149,צמוד מדד,2.70,7.75,אמות,AA-,105.28
12/12/2016,אמות אגח ה,1138114,לא צמוד,3.38,6.14,אמות,AA-,102.46
12/12/2016,אפקון החז אגח ב,5780085,לא צמוד,0.82,0.3,אפקון,A-,103.2
12/12/2016,ארפורט אגח ב,1121045,צמוד מדד,4.85,0.21,ארפורט,AA,106.03
12/12/2016,ארפורט אגח ג,1122670,צמוד מדד,1.03,1.06,ארפורט,AA,107.86
12/12/2016,ארפורט אגח ד,1130426,צמוד מדד,1.17,2.68,ארפורט,AA,101.75
12/12/2016,ארפורט אגח ה,1133487,צמוד מדד,2.32,6.65,ארפורט,AA,101.92
12/12/2016,אשטרום נכ אגח 6,2510121,לא צמוד,0.65,0.21,אשטרום,A,100.51
12/12/2016,אשטרום נכ אגח 7,2510139,צמוד מדד,1.33,2.2,אשטרום,A,115.8
12/12/2016,אשטרום נכ אגח 8,2510162,צמוד מדד,1.51,3.05,אשטרום,A,110.33
12/12/2016,אשטרום נכ אגח 9,2510170,לא צמוד,4.37,6.54,אשטרום,A,104.65
12/12/2016,אשטרום נכ אגח10,2510204,צמוד מדד,3.13,6.64,אשטרום,A,100.34
12/12/2016,אשטרום קב אגח א,1132323,צמוד מדד,2.61,4.34,אשטרום,A,99.43
12/12/2016,אשטרום קב אגח ב,1132331,לא צמוד,3.70,3.97,אשטרום,A,102.5
12/12/2016,בזן אגח א,2590255,צמוד מדד,2.05,1.71,בזן,BBB+,125.29
12/12/2016,בזן אגח ד,2590362,לא צמוד,3.15,2.69,בזן,BBB+,110.79
12/12/2016,בזן אגח ה,2590388,לא צמוד,4.18,4.93,בזן,BBB+,111.49
12/12/2016,בזן אגח ז,2590438,צמוד מדד,2.05,1.73,בזן,BBB+,129.54
