תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
23/05/2017,אאורה אגח ח,3730355,לא צמוד,1.42%,1.13,אאורה ,BBB,106.04
23/05/2017,אאורה אגח ט,3730397,לא צמוד,3.10%,2.41,אאורה ,BBB,108.76
23/05/2017,אאורה אגח י,3730413,לא צמוד,3.50%,3.39,אאורה ,BBB,104.1
23/05/2017,אבגול אגח ב,1126317,לא צמוד,1.13%,1.07,אבגול,A,108.15
23/05/2017,אבגול אגח ג,1133289,לא צמוד,2.55%,4.55,אבגול,A,112.5
23/05/2017,אברות אגח ד,2970192,לא צמוד,5.69%,2.83,אברות,BBB,102.68
23/05/2017,אדמה אגח ב,1110915,צמוד מדד,3.32%,8.98,אדמה,AA-,140.05
23/05/2017,אדרי-אל אגח ב,1123371,צמוד מדד,10.49%,0.13,אדרי אל,CCC,105.47
23/05/2017,אורון אגח א,1135714,לא צמוד,2.60%,2,אורון,A-,104.1
23/05/2017,אזורים אגח 8,7150246,צמוד מדד,1.11%,0.59,אזורים,A-,125.16
23/05/2017,אידיבי פת אגח ז,7980121,צמוד מדד,4.08%,0.53,אדיבי פת,BB,127.89
23/05/2017,אידיבי פת אגח ט,7980154,צמוד מדד,6.58%,5.08,אדיבי פת,BB,113.35
23/05/2017,אידיבי פת אגח י,7980162,לא צמוד,2.83%,1.03,אדיבי פת,BB,106.64
23/05/2017,איידיאו אגח ז,5050240,צמוד מדד,1.56%,4.21,איידיאו,A,112.64
23/05/2017,איידיאו אגח ח,5050265,צמוד מדד,2.06%,6.52,איידיאו,A,103.94
23/05/2017,אלומיי אגח א,1130947,לא צמוד,2.49%,3.31,אלומיי,A-,109
23/05/2017,אלומיי אגח ב,1140326,לא צמוד,3.16%,4.41,אלומיי,A-,102
23/05/2017,אלוני חץ אגח ו,3900206,צמוד מדד,0.59%,1.28,אלוני חץ,AA-,126.64
23/05/2017,אלוני חץ אגח ח,3900271,צמוד מדד,0.79%,3.12,אלוני חץ,AA-,115.41
23/05/2017,אלוני חץ אגח ט,3900354,לא צמוד,2.91%,5.94,אלוני חץ,AA-,106.43
23/05/2017,אלוני חץ אגח י,3900362,לא צמוד,1.68%,7.52,אלוני חץ,AA-,105.76
23/05/2017,אלקו אגח יא,6940167,לא צמוד,1.96%,3.31,אלקו,A+,112.82
23/05/2017,אלקטרה אגח ד,7390149,לא צמוד,2.12%,4.21,אלקטרה,AA-,108.58
23/05/2017,אלקטרה נדלןאגחד,1121227,צמוד מדד,1.57%,1.89,אלוני חץ,BBB,111.48
23/05/2017,אמות אגח א,1097385,צמוד מדד,0.64%,1.08,אמות,AA,128.73
23/05/2017,אמות אגח ב,1126630,צמוד מדד,0.70%,3.56,אמות,AA,121.34
23/05/2017,אמות אגח ג,1117357,צמוד מדד,0.55%,2.04,אמות,AA,119.21
23/05/2017,אמות אגח ד,1133149,צמוד מדד,1.90%,7.36,אמות,AA,112.7
23/05/2017,אמות אגח ה,1138114,לא צמוד,2.72%,5.88,אמות,AA,105.24
23/05/2017,ארפורט אגח ג,1122670,צמוד מדד,0.94%,0.76,ארפורט,AA,106.93
23/05/2017,ארפורט אגח ד,1130426,צמוד מדד,0.81%,2.37,ארפורט,AA,102.38
23/05/2017,ארפורט אגח ה,1133487,צמוד מדד,1.62%,6.63,ארפורט,AA,105.35
23/05/2017,ארפורט אגח ז,1140110,צמוד מדד,0.43%,2.87,ארפורט,AA,108.69
23/05/2017,אשדר אגח א,1104330,צמוד מדד,0.99%,1.96,אשדר,A-,129.12
23/05/2017,אשדר אגח ג,1123884,צמוד מדד,1.33%,2,אשדר,A-,114.39
23/05/2017,אשדר אגח ד,1135607,לא צמוד,2.58%,3.32,אשדר,A-,107.14
23/05/2017,אשטרום נכ אגח 7,2510139,צמוד מדד,1.00%,2.03,אשטרום,A,115.63
23/05/2017,אשטרום נכ אגח 8,2510162,צמוד מדד,1.00%,2.9,אשטרום,A,111.06
23/05/2017,אשטרום נכ אגח 9,2510170,לא צמוד,3.53%,6.34,אשטרום,A,109.65
