תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
25/01/2017,מז טפ הנפק 43,2310191,צמוד מדד,0.78,4.17,מזרחי טפחות,AAA,116.48
25/01/2017,מז טפ הנפק 44,2310209,צמוד מדד,1.00,5.52,מזרחי טפחות שה,AAA,99.98
25/01/2017,מז טפ הנפק הת30,2310068,צמוד מדד,1.66,0.33,מזרחי טפחות שה,AA+,123.02
25/01/2017,מז טפ הנפק הת31,2310076,צמוד מדד,0.71,2.56,מזרחי טפחות שה,AA+,112.74
25/01/2017,מזרח טפחות שה א,6950083,צמוד מדד,1.56,4.48,מזרחי טפחות שה,A+,136.16
25/01/2017,מישורים אגח ב,1120351,צמוד מדד,3.58,0.6,מישורים,BBB+,112.24
25/01/2017,מישורים אגח ג,1127513,צמוד מדד,2.79,1.94,מישורים,BBB+,107.8
25/01/2017,מישורים אגח ד,1132729,צמוד מדד,3.36,3.18,מישורים,BBB+,105.31
25/01/2017,מליסרון אגח ד,3230083,צמוד מדד,0.87,0.58,מליסרון,AA-,120.27
25/01/2017,מליסרון אגח ה,3230091,צמוד מדד,1.06,3.12,מליסרון,AA-,124.61
25/01/2017,מליסרון אגח ו,3230125,צמוד מדד,1.55,3.44,מליסרון,AA-,115.45
25/01/2017,מליסרון אגח ז,3230141,צמוד מדד,1.24,3.4,מליסרון,AA-,109.38
25/01/2017,מליסרון אגח ח,3230166,צמוד מדד,1.38,4.45,מליסרון,AA-,105.47
25/01/2017,מליסרון אגח ט,3230174,צמוד מדד,1.45,3.13,מליסרון,AA-,102.83
25/01/2017,מליסרון אגח טו,3230240,לא צמוד,3.65,6.3,מליסרון,AA-,99.48
25/01/2017,מליסרון אגח טז,3230265,צמוד מדד,2.52,8.19,מליסרון,AA-,98.81
25/01/2017,מליסרון אגח י,3230190,צמוד מדד,2.28,7.23,מליסרון,AA-,96.82
25/01/2017,מליסרון אגח יא,3230208,צמוד מדד,2.69,7.09,מליסרון,AA-,97.91
25/01/2017,מליסרון אגח יב,3230216,צמוד מדד,1.10,0.83,מליסרון,AA-,124.46
25/01/2017,מליסרון אגח יג,3230224,צמוד מדד,1.45,3.13,מליסרון,AA-,123.19
25/01/2017,מליסרון אגח יד,3230232,צמוד מדד,2.50,7.61,מליסרון,AA-,98.61
25/01/2017,ממן אגח ב,2380046,לא צמוד,2.25,3.92,ממן,A+,103
25/01/2017,מנדלסוןתשת אגחג,1127638,צמוד מדד,1.27,1.04,מנדלסון,A,108.07
25/01/2017,מנרב אגח א,1550037,לא צמוד,2.41,3.37,מנרב,A,105.12
25/01/2017,מנרב אגח ב,1550052,צמוד מדד,3.05,6.9,מנרב,A,97.27
25/01/2017,מרכנתיל הנ אגחב,1138205,לא צמוד,1.88,4.88,מרכנתיל,AA+,102.69
25/01/2017,נאוי אגח ב,2080166,לא צמוד,1.34,1.07,נאוי,A,102.56
25/01/2017,נאוי אגח ג,2080174,לא צמוד,1.41,0.68,נאוי,A,99.11
25/01/2017,נורסטאר אגח ח,7230295,לא צמוד,1.85,1.51,נורסטאר,A+,98.6
25/01/2017,נורסטאר אגח ט,7230303,צמוד מדד,1.84,2.2,נורסטאר,A+,115.24
25/01/2017,נורסטאר אגח י,7230345,צמוד מדד,2.53,3.84,נורסטאר,A+,109.48
25/01/2017,נורסטאר אגח יא,7230352,צמוד מדד,3.15,5.93,נורסטאר,A+,100.32
25/01/2017,נייר חדרה אגח 3,6320071,צמוד מדד,0.93,0.94,נייר חדרה,A,119.69
25/01/2017,נייר חדרה אגח 5,6320097,לא צמוד,1.02,0.83,נייר חדרה,A,104.94
25/01/2017,נייר חדרה אגח 6,6320105,לא צמוד,2.95,4.76,נייר חדרה,A,115.02
25/01/2017,נכסים ובנ אגח ג,6990139,צמוד מדד,0.39,0.83,נכסים ובניו,A,124.43
25/01/2017,נכסים ובנ אגח ד,6990154,צמוד מדד,2.48,5.64,נכסים ובניו,A,137.16
25/01/2017,נמקו אגח א,1139575,לא צמוד,5.03,4.17,נמקו,A+,103.83
25/01/2017,נץ ארהב אגח 1,5160064,לא צמוד,5.10,1.87,נץ ארהב,BBB+,105
25/01/2017,נצבא אגח ה,1120468,צמוד מדד,1.12,2.91,נצבא,AA,113.15
25/01/2017,נצבא אגח ו,1128032,צמוד מדד,1.63,5.58,נצבא,AA,109.49
25/01/2017,סטרוברי אגח א,1136951,לא צמוד,5.63,3.11,סטרוברי,A,103
25/01/2017,סלקום אגח ד,1107333,צמוד מדד,1.49,0.43,סלקום,A+,121.33
25/01/2017,סלקום אגח ו,1125996,צמוד מדד,1.02,1.89,סלקום,A+,109.26
25/01/2017,סלקום אגח ז,1126002,לא צמוד,1.16,1.28,סלקום,A+,108.04
25/01/2017,סלקום אגח ח,1132828,צמוד מדד,1.83,4.46,סלקום,A+,100.84
25/01/2017,סלקום אגח ט,1132836,לא צמוד,2.89,4.74,סלקום,A+,106.48
25/01/2017,סלקום אגח י,1139245,צמוד מדד,2.13,6.57,סלקום,A+,102.3
25/01/2017,סלקום אגח יא,1139252,לא צמוד,3.49,6.32,סלקום,A+,100.68
25/01/2017,ספנסר אגח א,1133800,לא צמוד,4.26,3.41,ספנסר,A,110.32
25/01/2017,ספנסר אגח ב,1139898,לא צמוד,5.15,5.18,ספנסר,A,100.38
25/01/2017,עזריאלי אגח ב,1134436,צמוד מדד,1.13,4.07,עזריאלי,AA+,98.21
25/01/2017,עזריאלי אגח ג,1136324,צמוד מדד,1.47,5.62,עזריאלי,AA+,101.11
25/01/2017,פועל הנ שה נד 1,1940444,צמוד מדד,1.06,3.12,פועלים,AA,130.38
25/01/2017,פועלים הנ אגח29,1940485,לא צמוד,0.80,1.31,פועלים,AAA,107.71
25/01/2017,פועלים הנ אגח30,1940493,לא צמוד,0.65,1.81,פועלים,AAA,102.5
25/01/2017,פועלים הנ אגח31,1940527,צמוד מדד,0.73,1,פועלים,AAA,108.15
25/01/2017,פועלים הנ אגח32,1940535,צמוד מדד,0.94,4.89,פועלים,AAA,126.67
25/01/2017,פועלים הנ אגח33,1940568,צמוד מדד,1.03,2.59,פועלים,AAA,101.91
25/01/2017,פועלים הנ אגח34,1940576,צמוד מדד,0.61,3.11,פועלים,AAA,101.24
25/01/2017,פועלים הנ הת טו,1940543,צמוד מדד,0.97,4.83,פועלים,AA+,120.52
25/01/2017,פועלים הנ הת טז,1940550,לא צמוד,1.71,4.61,פועלים,AA+,128.43
25/01/2017,פועלים הנ הת יא,1940410,לא צמוד,1.10,2.04,פועלים,AA+,115.62
25/01/2017,פועלים הנ הת יג,1940436,לא צמוד,0.32,0.59,פועלים,AA+,101.64
25/01/2017,פועלים הנ הת יד,1940501,צמוד מדד,0.83,4.06,פועלים,AA+,119.42
25/01/2017,פועלים הנפ הת ט,1940386,צמוד מדד,0.83,0.9,פועלים,AA+,123.7
25/01/2017,פועלים הנפ הת י,1940402,צמוד מדד,0.89,2.08,פועלים,AA+,132.18
25/01/2017,פורמולה אגח א,2560142,לא צמוד,2.36,3.7,פורמולה,A+,101.84
25/01/2017,פז נפט אגח ג,1114073,לא צמוד,1.32,2.27,פז נפט,AA-,102.45
25/01/2017,פז נפט אגח ד,1132505,לא צמוד,1.92,6.89,פז נפט,AA-,99.15
25/01/2017,פז נפט אגח ה,1139534,לא צמוד,2.71,5.39,פז נפט,AA-,101.87
