תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
03/09/2017,אאורה אגח ח,3730355,לא צמוד,1.69,1.3,אאורה ,BBB,108.41
03/09/2017,אאורה אגח ט,3730397,לא צמוד,3.67,2.61,אאורה ,BBB,106.28
03/09/2017,אאורה אגח י,3730413,לא צמוד,3.97,3.59,אאורה ,BBB,101.8
03/09/2017,אבגול אגח ב,1126317,לא צמוד,1.04,1.27,אבגול,A,108.05
03/09/2017,אבגול אגח ג,1133289,לא צמוד,2.71,4.74,אבגול,A,110.97
03/09/2017,אברות אגח ד,2970192,לא צמוד,5.08,3.06,אברות,BBB,103.15
03/09/2017,אדמה אגח ב,1110915,צמוד מדד,3.82,8.85,אדמה,AA-,135.42
03/09/2017,אדרי-אל אגח ב,1123371,צמוד מדד,6.61,0.33,אדרי אל,CCC,104.09
03/09/2017,אורון אגח א,1135714,לא צמוד,2.58,2.2,אורון,A-,103.7
03/09/2017,אזורים אגח 8,7150246,צמוד מדד,1.22,0.8,אזורים,A-,123.98
03/09/2017,אידיבי פת אגח ז,7980121,צמוד מדד,4.86,0.73,אדיבי פת,BB,125.5
03/09/2017,אידיבי פת אגח ט,7980154,צמוד מדד,7.81,5.23,אדיבי פת,BB,104.79
03/09/2017,אידיבי פת אגח י,7980162,לא צמוד,4.05,1.23,אדיבי פת,BB,104.65
03/09/2017,איידיאו אגח ה,5050166,צמוד מדד,1.39,2.38,איידיאו,A,108.55
03/09/2017,איידיאו אגח ז,5050240,צמוד מדד,2.15,4.41,איידיאו,A,109.44
03/09/2017,איידיאו אגח ח,5050265,צמוד מדד,2.74,6.7,איידיאו,A,98.68
03/09/2017,אלומיי אגח א,1130947,לא צמוד,2.72,3.51,אלומיי,A-,107.62
03/09/2017,אלוני חץ אגח ו,3900206,צמוד מדד,0.80,1.48,אלוני חץ,AA-,125.67
03/09/2017,אלוני חץ אגח ח,3900271,צמוד מדד,1.17,3.32,אלוני חץ,AA-,113.21
03/09/2017,אלוני חץ אגח ט,3900354,לא צמוד,3.38,6.12,אלוני חץ,AA-,102.9
03/09/2017,אלוני חץ אגח י,3900362,לא צמוד,1.98,7.72,אלוני חץ,AA-,102.95
03/09/2017,אלקו אגח יא,6940167,לא צמוד,2.12,3.51,אלקו,A+,111.9
03/09/2017,אלקטרה אגח ד,7390149,לא צמוד,2.28,4.4,אלקטרה,AA-,107.38
03/09/2017,אלקטרה נדלןאגחד,1121227,צמוד מדד,1.89,2.05,אלקטרה,BBB,112.08
03/09/2017,אמות אגח א,1097385,צמוד מדד,0.89,1.28,אמות,AA,127.48
03/09/2017,אמות אגח ב,1126630,צמוד מדד,1.22,3.76,אמות,AA,118.34
03/09/2017,אמות אגח ג,1117357,צמוד מדד,0.83,2.24,אמות,AA,117.75
03/09/2017,אמות אגח ד,1133149,צמוד מדד,2.58,7.52,אמות,AA,106.9
03/09/2017,אמות אגח ה,1138114,לא צמוד,3.06,6.07,אמות,AA,102.56
03/09/2017,אפקון החז אגח ב,5780085,לא צמוד,4.12,0.06,אפקון,A-,103.21
03/09/2017,ארפורט אגח ג,1122670,צמוד מדד,0.71,0.96,ארפורט,AA,106.43
03/09/2017,ארפורט אגח ד,1130426,צמוד מדד,1.19,2.58,ארפורט,AA,101.22
03/09/2017,ארפורט אגח ה,1133487,צמוד מדד,2.39,6.77,ארפורט,AA,99.75
03/09/2017,ארפורט אגח ז,1140110,צמוד מדד,1.03,3.06,ארפורט,AA,106.35
03/09/2017,אשדר אגח א,1104330,צמוד מדד,1.56,1.67,אשדר,A-,127.82
03/09/2017,אשדר אגח ג,1123884,צמוד מדד,2.05,2.2,אשדר,A-,111.73
03/09/2017,אשדר אגח ד,1135607,לא צמוד,2.68,3.52,אשדר,A-,106.23
03/09/2017,אשטרום נכ אגח 7,2510139,צמוד מדד,1.49,2.22,אשטרום,A,113.69
03/09/2017,אשטרום נכ אגח 8,2510162,צמוד מדד,1.60,2.81,אשטרום,A,109.92
03/09/2017,אשטרום נכ אגח 9,2510170,לא צמוד,4.10,6.33,אשטרום,A,107.48
03/09/2017,אשטרום נכ אגח10,2510204,צמוד מדד,2.95,6.47,אשטרום,A,101.42
03/09/2017,אשטרום קב אגח א,1132323,צמוד מדד,2.47,4.11,אשטרום,A,100.6
03/09/2017,אשטרום קב אגח ב,1132331,לא צמוד,3.17,3.77,אשטרום,A,105.41
03/09/2017,אשטרום קב אגח ג,1140102,לא צמוד,4.49,6.04,אשטרום,A,99.33
03/09/2017,בזן אגח א,2590255,צמוד מדד,1.91,1.75,בזן,BBB+,123.37
03/09/2017,בזן אגח ד,2590362,לא צמוד,2.46,2.81,בזן,BBB+,111.38
03/09/2017,בזן אגח ה,2590388,לא צמוד,3.48,4.85,בזן,BBB+,113.74
03/09/2017,בזן אגח ז,2590438,צמוד מדד,1.87,1.49,בזן,BBB+,129.61
03/09/2017,בזק אגח 10,2300184,צמוד מדד,1.85,6.95,בזק,AA,103.1
03/09/2017,בזק אגח 6,2300143,צמוד מדד,1.04,3.51,בזק,AA,113.28
03/09/2017,בזק אגח 7,2300150,לא צמוד,1.15,3.62,בזק,AA,101.52
03/09/2017,בזק אגח 8,2300168,לא צמוד,0.26,0.23,בזק,AA,102.79
03/09/2017,בזק אגח 9,2300176,לא צמוד,3.00,6.61,בזק,AA,105.46
03/09/2017,בינל הנפק אגח ג,1093681,צמוד מדד,0.55,0.88,בינל,AA+,128.36
03/09/2017,בינל הנפק אגח ח,1134212,לא צמוד,1.19,2.79,בינל,AA+,102.42
03/09/2017,בינל הנפק אגח ט,1135177,צמוד מדד,0.65,3.01,בינל,AA+,101.41
03/09/2017,בינל הנפק התח ד,1103126,צמוד מדד,1.12,2.44,בינל,AA,128.55
03/09/2017,בינל הנפק התח ה,1105576,צמוד מדד,1.83,0.25,בינל,AA,120.76
03/09/2017,בינל הנפק התח כ,1121953,צמוד מדד,0.51,2.35,בינל,AA,111.06
03/09/2017,בינל הנפק התחכא,1126598,צמוד מדד,0.70,2.26,בינל,AA,107.27
03/09/2017,בינל הנפק התחכב,1138585,צמוד מדד,1.98,4.04,בינל,A+,5260950
03/09/2017,בינלהנפ שה נד ב,1091164,צמוד מדד,0.51,0.96,בינל,AA,130.81
03/09/2017,בית הזהב אגח ב,2350072,לא צמוד,3.20,4.43,בית הזהב,BBB+,108.94
03/09/2017,בית הזהב אגח ג,2350080,לא צמוד,3.44,5.13,בית הזהב,BBB+,101.98
03/09/2017,בראק אן וי אגחא,1122860,צמוד מדד,1.09,1.8,ברקן אן וי,AA-,111.6
03/09/2017,בראק אן וי אגחב,1128347,צמוד מדד,1.66,4.85,ברקן אן וי,AA-,108.73
03/09/2017,בראק אן וי אגחג,1133040,צמוד מדד,2.49,6.91,ברקן אן וי,AA-,106.2
03/09/2017,ברוקלנד אגח א,1132307,לא צמוד,5.24,1.99,ברוקלנד,BBB+,104.73
03/09/2017,ברוקלנד אגח ב,1136993,לא צמוד,7.34,3.2,ברוקלנד,BBB+,107.64
03/09/2017,ברם אגח א,1135730,לא צמוד,2.22,2.47,ברם,BBB+,108.76
03/09/2017,ג'י.אף.אי אגח א,1134915,לא צמוד,5.15,2.69,ג'י.אף.איי,A-,110.79
03/09/2017,גב ים אגח ה,7590110,צמוד מדד,1.18,0.55,גב ים,AA-,124.28
03/09/2017,גב ים אגח ו,7590128,צמוד מדד,1.89,5.7,גב ים,AA-,143.17
03/09/2017,גב ים אגח ז,7590144,לא צמוד,0.75,0.63,גב ים,AA-,105.91
03/09/2017,גזית גלוב אגח ג,1260306,צמוד מדד,1.18,1.04,גזית גלוב,AA-,128.62
03/09/2017,גזית גלוב אגח ד,1260397,צמוד מדד,1.69,2.89,גזית גלוב,AA-,134.85
03/09/2017,גזית גלוב אגח ה,1260421,לא צמוד,0.97,0.56,גזית גלוב,AA-,100.04
03/09/2017,גזית גלוב אגח ט,1260462,צמוד מדד,1.19,1.27,גזית גלוב,AA-,123.27
03/09/2017,גזית גלוב אגח י,1260488,צמוד מדד,0.84,2.29,גזית גלוב,AA-,130.28
03/09/2017,גזית גלוב אגחיא,1260546,צמוד מדד,2.47,4.88,גזית גלוב,AA-,119.89
03/09/2017,גזית גלוב אגחיב,1260603,צמוד מדד,3.51,7.51,גזית גלוב,AA-,104.7
03/09/2017,גלובל כנפ אגח א,1121482,לא צמוד,2.18,1.64,גלובל כנפיים,A-,110
03/09/2017,דה זראסאי אגח א,1127901,צמוד מדד,1.48,2.83,דה זראסאי,AA-,110.59
03/09/2017,דה זראסאי אגח ב,1131028,לא צמוד,2.73,3.66,דה זראסאי,AA-,109.37
03/09/2017,דה זראסאי אגח ג,1137975,לא צמוד,3.73,5.55,דה זראסאי,AA-,104.99
03/09/2017,דה לסר אגח ב,1118587,צמוד מדד,2.42,1.2,דה לסר,A-,114.78
