,r,l,gb,wg,gr,wp,y,o
r,0,1,2,0,4,2,3,2
l,0,0,2,1,2,1,1,1
gb,0,0,0,7,7,4,6,10
wg,2,0,0,0,6,8,8,5
gr,0,0,0,1,0,3,2,5
wp,0,0,0,0,0,0,8,1
y,0,0,0,0,0,0,0,3
o,0,0,0,0,0,9,0,0
