,H,M,N,O,P,Q,R,S
H,0,1,0,1,0,0,0,0
M,0,0,7,0,2,0,0,0
N,0,0,0,1,3,1,6,2
O,2,0,1,0,6,6,0,3
P,0,0,0,0,0,0,1,2
Q,0,0,0,0,0,0,3,0
R,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0
