,WS,B,S,PG,R,SG,GS,W
WS,0,10,1,4,12,3,5,3
B,0,0,1,2,11,2,4,2
S,0,0,0,0,3,1,1,0
PG,0,0,0,0,6,2,2,2
R,0,0,0,0,0,6,2,3
SG,0,0,0,0,0,0,2,7
GS,0,0,0,0,0,0,0,6
W,0,0,0,0,0,0,0,0
