,I,II,III,IV,V,VI,VII,XI,XII,XIII
I,0,10,2,18,2,5,40,45,20,31
II,1,0,0,2,0,0,2,4,2,2
III,0,0,0,0,0,0,2,0,0,0
IV,0,1,0,0,0,0,8,11,0,4
V,0,0,0,0,0,0,0,0,0,0
VI,1,0,1,0,0,0,0,2,2,3
VII,3,0,0,5,0,0,0,9,3,5
XI,0,0,0,0,0,0,2,0,3,8
XII,0,0,0,0,0,0,1,0,0,5
XIII,0,0,0,0,0,0,1,0,1,0
