,A1,A2,A3,A4,A5,A6
A1,0,11,57,2,30,24
A2,6,0,8,2,2,16
A3,4,4,0,11,22,21
A4,3,0,4,0,7,19
A5,2,0,4,0,0,5
A6,0,0,0,0,1,0
