,bc30,bc21,bp,a844,yc15,a840,bc26,843,bt15,a854,bc18
bc30,0,1,2,3,6,2,3,2,1,2,3
bc21,0,0,1,3,0,2,8,1,1,4,6
bp,0,0,0,3,2,5,1,2,0,0,0
a844,0,0,0,0,2,1,7,4,2,0,3
yc15,0,1,0,0,0,3,1,2,2,1,2
a840,1,1,0,0,2,0,4,0,0,1,5
bc26,0,6,1,3,1,0,0,4,2,1,7
843,0,8,0,1,0,1,1,0,0,0,3
bt15,0,0,0,0,0,0,0,0,0,3,0
a854,0,0,0,1,0,0,0,0,0,0,1
bc18,0,0,2,1,1,0,0,0,0,0,0
