,b1,a1,f3,e2,c1,h2,Dad,ki,Iad,g1,Mad,o3,j1
b1,0,4,2,9,0,1,0,3,0,1,1,0,0
a1,7,0,4,6,5,0,3,0,2,8,1,0,0
f3,3,1,0,2,1,3,1,1,0,0,1,1,1
e2,3,7,2,0,0,2,1,4,0,2,3,1,0
c1,0,4,0,0,0,2,5,0,0,0,0,0,0
h2,2,0,3,0,1,0,0,0,0,0,0,0,0
Dad,2,1,2,3,4,1,0,0,0,0,2,0,0
ki,3,1,1,6,1,0,2,0,0,0,0,0,0
Iad,0,0,0,1,0,1,0,0,0,0,0,0,1
g1,3,1,3,3,1,2,0,0,0,0,0,0,0
Mad,1,1,0,1,2,0,3,0,0,0,0,0,0
o3,0,0,0,0,0,1,0,0,0,0,0,0,0
j1,0,0,0,0,0,0,0,0,0,0,0,0,0
