,ASG,OSA,ALP,ADK,JLYA,ATK,YJD,YJB,YJDR,JNN,SAN,ATBW
ASG,0,5,25,3,22,1,3,1,2,4,3,3
OSA,0,0,5,0,1,1,0,1,0,2,1,0
ALP,0,0,0,0,2,1,0,1,1,1,0,0
ADK,0,0,0,0,3,3,2,4,0,8,1,5
JLYA,0,0,0,0,0,1,4,2,2,4,2,4
ATK,0,0,0,0,0,0,1,0,2,2,1,4
YJD,0,0,0,0,0,0,0,0,2,3,1,1
YJB,0,0,0,0,0,0,0,0,1,0,1,1
YJDR,0,0,0,0,0,0,0,0,0,3,1,3
JNN,0,0,0,0,0,0,0,0,0,0,6,6
SAN,0,0,0,0,0,0,0,0,1,0,0,12
ATBW,0,0,0,0,0,0,2,0,0,0,1,0
