,am,jm1,jm2,af1,af2,jf
am,0,53,9,33,25,33
jm1,0,0,18,13,55,97
jm2,0,0,0,16,15,14
af1,0,39,0,0,15,24
af2,0,0,0,2,0,33
jf,0,1,0,0,0,0
