,ZS,RC,BY,ST,MT,KK,MG,TN
ZS,0,2,18,31,14,12,17,9
RC,0,0,0,1,1,0,0,3
BY,0,0,0,2,4,2,3,3
ST,0,0,0,0,2,2,5,1
MT,0,0,0,0,0,1,0,0
KK,0,0,0,0,0,0,1,1
MG,0,0,0,0,0,0,0,2
TN,0,2,18,0,0,0,0,0
