,a1,a2,a3,a4,a5,a6,a7,a8,a9
a1,0,25,19,15,6,2,1,2,6
a2,5,0,21,7,2,3,1,3,3
a3,11,18,0,6,1,1,2,1,3
a4,1,4,1,0,4,0,0,0,3
a5,1,0,0,1,0,0,1,1,1
a6,0,0,0,0,1,0,0,0,0
a7,0,0,0,0,0,1,0,0,0
a8,0,0,0,0,0,0,0,0,0
a9,1,1,0,0,0,0,0,0,0
