,BF2,BF1,BF5,BF3,BF4,BF6
BF2,0,1,11,6,4,18
BF1,1,0,1,2,1,2
BF5,1,1,0,1,2,14
BF3,1,1,0,0,1,1
BF4,0,0,0,0,0,2
BF6,0,1,1,1,0,0
