,a,b,c,d,e,f,g,h,i,j,k,l
a,0,3,1,0,6,3,1,2,1,0,1,0
b,2,0,0,0,1,2,0,1,1,0,2,0
c,0,3,0,0,1,3,1,1,1,1,2,0
d,0,0,2,0,0,0,0,1,1,0,1,0
e,0,0,1,0,0,2,0,1,1,0,1,0
f,0,0,2,2,0,0,0,0,0,3,2,1
g,0,0,0,0,0,0,0,1,0,1,1,0
h,0,0,1,0,0,3,0,0,0,0,1,0
i,0,0,0,0,0,1,0,0,0,0,0,1
j,0,0,0,0,0,0,1,0,1,0,0,0
k,0,1,0,0,0,0,0,0,0,0,0,1
l,0,0,0,0,0,0,0,0,0,0,0,0
