,a8,a5,a1,a2,a7,a4,a3,c,a,b
a8,0,5,9,9,9,8,2,3,1,6
a5,0,0,6,7,19,4,0,2,3,4
a1,0,0,0,9,3,10,12,0,8,18
a2,0,0,1,0,11,1,3,3,9,7
a7,0,0,0,0,0,4,0,2,12,5
a4,0,0,0,0,0,0,10,0,9,4
a3,0,0,0,0,1,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,5
b,0,0,0,0,0,0,0,0,0,0
