,PA,OL,ST,SH,DU,PG,PE
PA,0,3,47,34,31,5,10
OL,0,0,5,10,2,9,0
ST,0,0,0,70,42,63,0
SH,0,0,0,0,26,0,2
DU,0,0,0,0,0,0,13
PG,0,0,0,0,0,0,0
PE,0,0,0,0,0,0,0
