,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
A1,0,107,39,28,36,21,41,21,44,46
A2,0,0,22,13,33,25,37,17,46,50
A3,0,17,0,8,17,11,13,12,15,18
A4,0,0,5,0,5,8,4,2,2,0
A5,0,0,0,0,0,16,1,16,8,0
A6,0,14,6,2,4,0,4,2,7,8
A7,0,0,0,1,1,2,0,15,1,0
A8,0,0,1,1,1,2,4,0,5,0
A9,0,0,3,1,0,0,0,1,0,5
A10,0,0,0,0,2,0,0,0,0,0
