,C1,C2,C3,C4,C5,C6
C1,0,77,130,41,79,173
C2,3,0,21,10,29,17
C3,13,9,0,6,29,29
C4,1,4,1,0,16,32
C5,4,9,0,11,0,24
C6,11,9,5,3,17,0
