,x8,x2,x6,x5,x9,x7,x3,x1,x4
x8,0,0,2,1,4,6,11,2,4
x2,0,0,8,2,1,1,3,1,2
x6,0,0,0,6,4,0,1,4,7
x5,0,0,0,0,6,0,2,8,0
x9,0,0,0,1,0,2,1,2,2
x7,0,0,0,0,0,0,1,2,12
x3,0,0,0,0,0,0,0,4,3
x1,0,0,0,0,0,0,0,0,6
x4,0,0,0,0,0,0,0,0,0
