,Dzeeta,Hermien,Desmond,Hortense,Ludwig,Kidogo
Dzeeta,0,2,30,6,19,122
Hermien,0,0,18,0,19,85
Desmond,0,1,0,3,8,84
Hortense,0,0,0,0,267,50
Ludwig,0,0,0,5,0,10
Kidogo,1,0,4,4,1,0
