,YB,TC,YT,BF,PB,UI,SS,T
YB,0,286,240,109,51,43,50,23
TC,6,0,73,157,197,91,46,29
YT,6,19,0,153,126,50,123,34
BF,3,2,4,0,55,40,53,12
PB,0,2,4,0,0,53,47,26
UI,0,0,1,0,1,0,30,34
SS,0,0,0,0,0,2,0,79
T,0,0,0,0,0,2,0,0
