,gr,p,r,w,m,rw,gv,v,rv,vw,gw,g
gr,0,5,2,3,2,2,0,0,0,0,0,2
p,0,0,39,40,18,1,1,0,0,0,0,21
r,0,0,0,26,19,1,0,3,1,0,0,18
w,0,0,0,0,13,1,0,1,1,0,0,10
m,0,0,0,0,0,2,1,0,1,0,1,5
rw,0,1,0,0,0,0,1,1,2,0,0,0
gv,0,0,0,0,0,1,0,0,0,0,0,0
v,0,0,0,0,0,0,0,0,1,0,0,0
rv,0,0,0,0,1,0,0,0,0,0,0,0
vw,0,0,0,0,0,0,0,0,0,0,0,0
gw,0,0,0,0,0,0,0,0,0,0,0,0
g,0,0,0,0,0,0,0,0,0,0,0,0
