,a,b,c,d,e,f,g,h
a,0,1,6,6,2,4,0,0
b,0,0,1,0,1,1,0,1
c,0,1,0,2,3,2,1,1
d,0,0,2,0,4,2,0,3
e,0,0,2,0,0,0,1,2
f,0,0,2,1,0,0,0,0
g,0,0,0,0,0,0,0,0
h,0,0,0,0,0,0,0,0
