,a,b,c,d,e,f,g,h,i
a,0,0,1,0,0,2,0,2,0
b,0,0,0,0,1,0,1,0,2
c,0,0,0,0,0,2,0,1,0
d,0,0,0,0,0,0,2,0,3
e,0,0,0,0,0,1,0,1,0
f,0,0,0,0,0,0,0,0,0
g,0,0,0,0,0,0,0,0,0
h,0,0,0,0,0,0,0,0,0
i,0,0,0,0,0,0,0,0,0
