,B1,B2,B3,B4,B5,B6
B1,0,34,4,7,5,6
B2,0,0,21,7,9,2
B3,0,2,0,4,3,3
B4,0,1,0,0,3,2
B5,0,0,0,0,0,3
B6,0,0,0,0,0,0
