,ISO,ITO,ISP,IKE,IST,ISE
ISO,0,18,12,11,12,4
ITO,26,0,1,3,4,3
ISP,0,1,0,6,10,4
IKE,0,0,2,0,8,1
IST,0,0,0,4,0,1
ISE,0,0,0,0,0,0
