,dt,wt,bt,pb,wf,sp,mc,tr
dt,0,3,5,4,2,6,3,3
wt,0,0,4,7,2,3,5,0
bt,0,0,0,4,0,2,3,2
pb,0,0,0,0,3,0,4,2
wf,0,0,3,0,0,1,3,0
sp,0,0,0,0,0,0,1,4
mc,0,0,0,0,0,0,0,5
tr,0,0,0,0,0,0,0,0
