,A1,A2,A3,A4,A5,A6
A1,0,43,40,61,158,58
A2,1,0,34,10,14,9
A3,1,2,0,16,10,8
A4,0,6,6,0,21,7
A5,1,2,4,8,0,21
A6,0,1,1,0,4,0
