,a14,a15,a17,a18,a19,a39,a55,a58,a97,a98
a14,0,47,37,96,376,11,37,60,28,45
a15,66,0,36,342,70,13,198,39,19,16
a17,65,32,0,33,48,57,25,8,18,4
a18,80,101,10,0,18,3,14,3,14,45
a19,98,61,59,51,0,7,12,6,55,8
a39,96,75,68,85,66,0,89,157,125,356
a55,79,27,41,44,57,227,0,501,64,185
a58,78,111,44,45,79,169,44,0,344,172
a97,78,86,68,61,49,344,396,273,0,1008
a98,110,86,154,99,81,712,394,620,175,0
