,AP,ALBD,ABL,SADP,ALEG,OJPP,SADPF,JDTK,AML,ALRD,YJ,AB
AP,0,6,1,0,1,3,1,0,0,1,1,2
ALBD,0,0,2,3,0,1,3,2,0,0,3,1
ABL,0,0,0,1,0,1,0,0,0,0,0,0
SADP,0,0,0,0,1,0,1,1,0,0,0,0
ALEG,0,0,0,0,0,1,1,1,1,0,1,2
OJPP,0,0,0,0,0,0,0,0,2,0,0,0
SADPF,0,0,1,0,0,0,0,3,0,2,5,5
JDTK,0,0,0,0,0,0,0,0,1,0,0,0
AML,0,0,0,0,0,0,3,0,0,4,0,3
ALRD,0,0,0,0,0,0,0,0,0,0,0,4
YJ,0,0,0,0,0,0,0,1,0,0,0,2
AB,0,0,0,0,0,0,0,0,0,0,1,0
