,A1,A10,A5,A3,A4,A11,A7.1
A1,0,1,1,1,2,2,2
A10,0,0,5,5,10,2,10
A5,0,1,0,2,3,1,2
A3,0,0,1,0,1,1,2
A4,2,0,2,0,0,1,6
A11,0,1,0,1,0,0,0
A7.1,0,0,0,0,0,0,0
