,x1,x2,x3,x4,x5,x6,x7,x8,x9
x1,0,22,18,8,11,2,18,3,3
x2,3,0,8,5,7,1,32,2,6
x3,1,0,0,3,1,0,11,1,0
x4,0,0,1,0,7,1,2,1,2
x5,0,0,1,1,0,7,11,8,1
x6,0,0,0,0,0,0,1,14,6
x7,0,0,0,7,0,0,0,2,3
x8,1,0,0,1,1,1,0,0,10
x9,0,0,1,0,0,0,1,0,0
