,GLH,BS,BMS,BRH,GM,BBT,BLL,BM,BN,BBC,GLS
GLH,0,4,3,0,6,4,1,12,4,2,0
BS,0,0,1,5,83,0,0,3,40,2,0
BMS,0,4,0,1,4,0,1,40,12,0,0
BRH,0,1,0,0,3,0,1,0,0,0,0
GM,0,0,0,1,0,1,0,0,0,0,0
BBT,0,0,0,0,1,0,0,0,1,1,0
BLL,0,2,1,0,9,0,0,5,0,0,1
BM,0,36,5,0,9,0,0,0,5,0,0
BN,0,0,0,0,10,0,0,0,0,0,0
BBC,0,0,0,0,0,0,0,0,0,0,0
GLS,0,0,0,0,0,0,0,0,0,0,0
