,d1,d2,d3,d4,d5,d6,d7
d1,0,5,0,2,2,2,1
d2,0,0,2,1,0,0,0
d3,0,2,0,0,0,0,0
d4,0,0,0,0,2,0,1
d5,0,0,0,0,0,1,0
d6,0,0,0,0,0,0,0
d7,0,0,0,0,0,0,0
