,b1,b2,b3,b4,b5,b6,b7,b8,b9
b1,0,3,3,0,3,1,0,1,0
b2,0,0,3,2,5,0,3,0,2
b3,1,0,0,0,0,0,0,0,0
b4,0,0,0,0,0,1,0,0,0
b5,0,0,0,0,0,1,0,1,0
b6,0,0,0,0,0,0,0,0,0
b7,0,0,0,0,0,0,0,11,3
b8,0,0,0,0,0,0,0,0,2
b9,0,0,0,0,0,0,0,0,0
