,A,B,C,D,E,F,G,H,I,J
A,0,9,5,15,2,5,44,31,16,4
B,0,0,11,7,6,1,21,4,19,13
C,0,0,0,7,0,5,32,7,23,11
D,0,0,0,0,2,5,26,10,6,0
E,0,0,22,0,0,7,1,2,10,5
F,0,0,0,0,0,0,23,1,1,0
G,0,0,0,0,29,0,0,20,31,0
H,0,0,0,0,0,0,0,0,3,2
I,0,0,1,3,0,0,2,0,0,25
J,0,0,2,10,0,5,23,0,1,0
