,J,H,MB,Z,LO,R,MO,MW
J,0,41,22,2,34,5,6,15
H,28,0,7,0,8,2,0,25
MB,1,1,0,9,6,1,3,12
Z,1,1,1,0,3,1,1,0
LO,0,4,10,12,0,1,3,6
R,0,0,1,0,2,0,1,0
MO,0,1,0,0,15,0,0,1
MW,0,0,5,1,1,0,0,0
