,I,L,LW,RN,RB,SO,G,SR
I,0,7,10,7,4,6,3,7
L,0,0,3,0,3,4,3,1
LW,0,0,0,4,0,1,4,2
RN,0,0,0,0,0,1,5,10
RB,0,0,0,1,0,0,2,1
SO,0,1,2,1,0,0,1,5
G,0,0,0,0,0,0,0,1
SR,0,0,0,1,0,0,0,0
