,AFK,AFW,AFN,AFT,AFJ,AFA,AFS,AFL,AFE
AFK,0,1,9,4,3,3,2,0,2
AFW,0,0,10,4,5,1,1,2,1
AFN,0,0,0,1,2,2,1,3,0
AFT,0,0,0,0,0,4,4,2,2
AFJ,0,0,0,0,0,1,2,1,6
AFA,0,0,0,0,0,0,1,1,1
AFS,0,0,0,0,0,0,0,2,4
AFL,0,0,0,0,0,0,0,0,1
AFE,0,0,0,0,0,0,1,0,0
