,M1,M2,M3,M4,M5,M6,M7A,M7B,M7C,M7D,M7E,M7F,M7G
M1,0,151,72,130,95,229,82,78,82,90,43,27,70
M2,0,0,29,34,11,22,22,12,4,10,2,4,19
M3,0,14,0,11,13,23,14,9,2,9,5,14,5
M4,0,0,0,0,6,6,5,15,4,10,3,1,6
M5,0,0,0,1,0,4,5,0,1,3,2,5,0
M6,0,1,0,2,0,0,7,2,1,1,1,2,1
M7A,0,0,0,0,0,0,0,0,1,0,0,0,0
M7B,0,0,0,0,0,1,3,0,0,0,0,1,1
M7C,0,0,0,0,0,0,0,1,0,0,1,0,0
M7D,0,0,0,0,0,0,1,0,2,0,1,0,1
M7E,0,0,0,0,0,0,3,0,0,0,0,2,1
M7F,0,0,0,0,0,0,0,0,2,0,0,0,0
M7G,0,0,0,0,0,0,0,0,1,0,1,1,0
