,A,B,C,D,E,F,G,H,I,J,K
A,0,0,1,0,1,1,1,0,4,0,0
B,0,0,0,2,0,3,0,4,0,2,0
C,0,0,0,2,0,0,0,0,1,0,0
D,0,0,0,0,1,0,1,0,1,0,2
E,0,0,0,0,0,1,0,0,1,0,0
F,0,0,0,0,0,0,0,5,0,2,1
G,0,0,0,0,1,0,0,1,0,0,1
H,0,1,0,0,0,0,0,0,0,1,0
I,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,2,0
