,a30,a5,a60,a6,a50,a40,a4,a3
a30,0,8,17,16,4,8,24,5
a5,0,0,28,13,12,9,5,1
a60,0,0,0,48,15,15,7,3
a6,0,0,0,0,13,8,4,9
a50,0,0,0,0,0,12,9,2
a40,0,0,0,0,0,0,8,0
a4,0,0,0,0,0,0,0,5
a3,0,0,0,1,1,1,1,0
