,a2,a3,a1,a7,a5,a6,a4
a2,0,43,38,29,29,35,25
a3,1,0,37,23,24,30,39
a1,1,1,0,43,34,18,48
a7,1,3,1,0,41,30,32
a5,1,2,7,12,0,64,85
a6,1,1,3,3,4,0,24
a4,1,1,1,2,1,2,0
