,D1,D2,D3,D4,D5,D6,D7,D8,D9
D1,0,11,9,19,12,10,13,11,9
D2,11,0,14,7,9,12,5,0,7
D3,3,5,0,7,2,1,9,2,2
D4,6,2,3,0,5,4,3,4,1
D5,2,5,0,3,0,3,4,3,4
D6,2,2,1,7,3,0,2,0,3
D7,0,0,3,4,1,3,0,1,1
D8,3,0,1,0,3,0,1,0,0
D9,0,0,0,1,0,0,0,0,0
