,L,MS,2MS,AL,ES,WS
L,0,8,3,4,3,2
MS,1,0,14,14,7,5
2MS,1,0,0,6,2,5
AL,0,3,3,0,6,4
ES,0,1,1,0,0,2
WS,0,0,1,1,1,0
