,am1,am2,af1,jf1,jf2,jm,j?,af2
am1,0,16,4,16,8,18,10,2
am2,0,0,7,11,14,23,5,2
af1,4,2,0,18,20,5,9,2
jf1,0,0,0,0,21,12,11,0
jf2,0,2,0,0,0,26,10,0
jm,0,1,4,3,7,0,17,9
j?,0,0,0,0,2,5,0,0
af2,0,0,0,9,0,0,0,0
