,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
x1,0,6,11,1,3,4,4,10,4,7,8,6,27
x2,0,0,0,1,3,0,0,5,12,3,7,4,25
x3,0,0,0,7,13,9,0,7,0,1,10,1,14
x4,0,0,0,0,5,8,2,6,2,0,0,3,4
x5,0,0,0,0,0,0,0,0,2,0,0,3,3
x6,0,0,0,0,0,0,0,3,8,0,4,1,18
x7,0,0,0,0,0,0,0,0,0,0,0,0,8
x8,0,0,0,0,0,0,0,0,0,2,7,1,27
x9,0,0,0,0,0,0,0,0,0,0,1,3,33
x10,0,0,0,0,0,0,0,0,0,0,0,0,13
x11,0,0,0,0,0,0,0,0,0,0,0,0,12
x12,0,0,0,0,0,0,0,0,0,0,0,0,21
x13,14,2,0,0,0,0,0,0,0,0,0,0,0
