,CF2,CF3,CF5,CF4,CF1,CF6
CF2,0,3,0,0,1,0
CF3,2,0,1,1,0,4
CF5,1,0,0,0,2,2
CF4,0,0,0,0,1,2
CF1,0,1,0,1,0,0
CF6,0,0,1,3,1,0
