,A,B,C,K,J,D,E,F,G,H,I
A,0,23,59,13,19,41,63,18,56,0,10
B,0,0,34,14,28,50,69,50,58,11,18
C,1,0,0,13,28,58,140,53,58,5,48
K,0,0,1,0,2,11,19,13,17,0,6
J,0,0,0,0,0,29,51,40,25,1,18
D,0,0,0,0,3,0,74,27,31,1,31
E,0,0,1,0,2,2,0,43,26,4,47
F,0,0,0,1,0,0,0,0,29,13,48
G,0,0,0,0,0,0,0,6,0,20,38
H,0,0,0,0,0,0,0,0,2,0,9
I,0,0,0,0,0,0,0,0,3,6,0
