,RG,BlkG,AROO,ARGG,BleG,ARYO,AYO
RG,0,10,13,5,6,3,1
BlkG,0,0,10,7,1,1,9
AROO,0,0,0,10,6,12,2
ARGG,0,0,0,0,1,2,0
BleG,0,0,0,1,0,4,7
ARYO,0,0,0,0,0,0,2
AYO,0,0,0,0,0,0,0
