,a,k,c,g,t,p,s,n,d,f,r,m,b,j
a,0,2,8,27,6,69,39,20,8,19,68,21,2,44
k,2,0,3,7,4,7,10,1,0,3,8,4,0,22
c,0,1,0,9,6,13,58,7,28,21,46,15,14,25
g,0,0,1,0,16,1,5,5,4,7,17,0,3,22
t,3,0,0,0,0,4,3,4,13,8,0,1,1,7
p,0,0,1,12,1,0,8,28,6,4,45,12,10,7
s,0,0,0,5,0,2,0,6,29,19,8,2,2,9
n,0,0,0,0,0,4,0,0,7,4,3,10,11,8
d,0,0,0,5,0,17,1,5,0,4,6,11,1,6
f,0,0,0,4,1,10,1,3,1,0,2,6,3,11
r,0,0,0,0,0,1,6,23,6,1,0,1,1,5
m,0,0,0,0,0,7,0,2,0,0,1,0,0,3
b,0,0,0,0,0,0,0,0,2,2,0,0,0,5
j,0,0,0,3,0,17,4,3,0,0,1,1,3,0
