,B1,B2,B3,B4,B5,B6
B1,0,21,7,3,4,17
B2,0,0,15,11,15,20
B3,0,0,0,22,4,23
B4,0,0,2,0,19,10
B5,0,0,11,4,0,7
B6,0,0,0,0,3,0
