,RRR,YTT,GC,BGT,RRF,BRF,RC
RRR,0,5,18,8,15,11,7
YTT,0,0,4,0,9,6,9
GC,0,0,0,2,2,6,1
BGT,3,0,0,0,0,3,2
RRF,0,0,0,0,0,12,6
BRF,0,0,2,0,1,0,6
RC,0,0,0,0,0,0,0
