,a22,a4,a60,a66,a50,a55,a5,a2,a1,a11,a10
a22,0,10,3,2,1,0,0,1,1,0,0
a4,0,0,10,5,1,4,0,2,1,1,0
a60,0,0,0,4,0,1,0,0,0,0,0
a66,0,0,0,0,0,2,1,1,0,0,0
a50,0,0,0,0,0,1,0,0,0,0,0
a55,0,0,0,0,0,0,2,2,0,0,1
a5,0,0,0,0,0,0,0,4,0,0,0
a2,0,0,0,0,0,0,0,0,1,0,0
a1,0,0,0,0,0,0,0,0,0,0,0
a11,0,0,0,0,0,0,0,0,0,0,0
a10,0,0,0,0,0,0,0,0,0,0,0
