,A,B,C,D,E,F,G,H,I,J
A,0,14,10,11,0,5,7,12,14,22
B,0,0,8,7,0,8,22,10,13,14
C,0,0,0,12,4,6,18,24,26,24
D,0,0,0,0,2,8,16,17,7,15
E,7,0,0,0,0,2,6,1,3,9
F,0,0,1,0,0,0,7,4,6,7
G,0,0,0,0,0,0,0,13,15,18
H,0,0,0,0,0,0,0,0,17,16
I,0,0,0,0,0,0,0,0,0,23
J,0,0,0,0,0,0,0,0,0,0
