,x6,x2,x8,x5,x4,x1,x3,x7
x6,0,7,8,13,2,2,1,4
x2,0,0,8,9,2,0,2,19
x8,0,0,0,2,1,1,4,1
x5,0,0,0,0,2,0,6,9
x4,0,0,0,1,0,0,1,4
x1,0,0,0,0,0,0,1,2
x3,0,0,0,0,0,0,0,1
x7,0,0,2,9,4,0,0,0
